id,cur_pos,cur_vel,error,goal_pos,target
24,-1.45010403951318E-06,3.43371902196835E-07,1.45010403951318E-06,0,0.0001415767
25,-1.44644141286676E-06,3.87164971415043E-07,1.44644141286676E-06,0,0.0001407725
26,-1.44229655418826E-06,0.000000437,1.44229655418826E-06,0,0.0001398594
27,-1.43765005766738E-06,4.87222571631661E-07,1.43765005766738E-06,0,0.0001388928
28,-1.43253353002137E-06,5.45154331099842E-07,1.43253353002137E-06,0,0.0001378018
29,-1.42686091830768E-06,5.87511947376547E-07,1.42686091830768E-06,0,0.000136811
30,-1.42072079878375E-06,6.3587078973346E-07,1.42072079878375E-06,0,0.0001357134
31,-1.41409442555585E-06,6.8449909454431E-07,1.41409442555585E-06,0,0.0001345645
32,-0.000001407,7.40797457916397E-07,0.000001407,0,0.0001332934
33,-1.39939430532365E-06,7.8145735633734E-07,1.39939430532365E-06,0,0.0001321249
34,-1.39132436594025E-06,8.28055001543672E-07,1.39132436594025E-06,0,0.0001308519
35,-1.38278613004417E-06,8.7485950373756E-07,1.38278613004417E-06,0,0.00012953
36,-1.37381248332957E-06,9.29272368860712E-07,1.37381248332957E-06,0,0.0001280885
37,-1.36431863140274E-06,0.000000968,1.36431863140274E-06,0,0.000126752
38,-1.35439439041818E-06,1.01257747933494E-06,1.35439439041818E-06,0,0.0001253137
39,-0.000001344,1.05731693956813E-06,0.000001344,0,0.0001238291
40,-1.33323564810439E-06,1.10960682809577E-06,1.33323564810439E-06,0,0.0001222275
41,-0.000001322,1.14614051545144E-06,0.000001322,0,0.0001207336
42,-1.3102568612311E-06,1.18849615332538E-06,1.3102568612311E-06,0,0.0001191407
43,-1.29813807880907E-06,1.23094482248937E-06,1.29813807880907E-06,0,0.0001175044
44,-1.28562805912225E-06,1.28089003853482E-06,1.28562805912225E-06,0,0.0001157539
45,-1.27264311799991E-06,0.000001315,1.27264311799991E-06,0,0.0001141141
46,-1.25927415517424E-06,1.35493256448384E-06,1.25927415517424E-06,0,0.0001123781
47,-1.24550471714002E-06,1.39488126631526E-06,1.24550471714002E-06,0,0.0001106017
48,-1.23136931673429E-06,1.44227690577343E-06,1.23136931673429E-06,0,0.0001087142
49,-1.21678475561993E-06,1.4738150290419E-06,1.21678475561993E-06,0,0.0001069403
50,-1.20184241669818E-06,1.51107596179866E-06,1.20184241669818E-06,0,0.0001050735
51,-1.18652631186933E-06,1.54833301532656E-06,1.18652631186933E-06,0,0.0001031693
52,-1.17087140871774E-06,0.000001593,1.17087140871774E-06,0,0.0001011572
53,-1.15479495654824E-06,1.62174938456981E-06,1.15479495654824E-06,0,0.000099262
54,-1.13838876814043E-06,1.65618690482838E-06,1.13838876814043E-06,0,0.000097277
55,-1.12163727727932E-06,1.69057897273401E-06,1.12163727727932E-06,0,9.52579354063232E-05
56,-1.10457586188772E-06,1.73233250979838E-06,1.10457586188772E-06,0,9.31342700738469E-05
57,-1.08712216739804E-06,1.75814543004657E-06,1.08712216739804E-06,0,9.11307693307606E-05
58,-1.06936839205929E-06,1.78960044194141E-06,1.06936839205929E-06,0,8.90408345277649E-05
59,-1.05129934269144E-06,0.000001821,1.05129934269144E-06,0,8.69202072095732E-05
60,-0.000001033,1.85967200049556E-06,0.000001033,0,8.46983604141371E-05
61,-1.01424063014832E-06,1.88239585925539E-06,1.01424063014832E-06,0,8.26001072873339E-05
62,-9.95261496328226E-07,1.91072876810046E-06,9.95261496328226E-07,0,8.041886498944E-05
63,-0.000000976,1.93894768547685E-06,0.000000976,0,7.82103717789084E-05
64,-9.56487644643289E-07,1.97446202939383E-06,9.56487644643289E-07,0,7.59041585141063E-05
65,-9.36647269966784E-07,0.000001994,9.36647269966784E-07,0,0.000073725
66,-9.16570179754217E-07,2.01906346478049E-06,9.16570179754217E-07,0,7.1466386586394E-05
67,-8.96241776793261E-07,0.000002044,8.96241776793261E-07,0,0.000069184
68,-8.75698368929534E-07,2.07623453050277E-06,8.75698368929534E-07,0,6.68075028187332E-05
